"player","playerShort","birthday","height","weight","position","club","leagueCountry","refNum","goals","victories","defeats","yellowCards","games","redCards","rater1","rater2"
"Joleon Lescott","joleon-lescott","16.08.1982",188,83,"Center Back","Manchester City","England",550,0,1,0,0,1,0,0.5,0.5
"Jordan Henderson","jordan-henderson","17.06.1990",182,67,"Right Midfielder","Liverpool FC","England",550,0,1,0,0,1,0,0,0.25
"Kyle Naughton","kyle-naughton","11.11.1988",180,73,"Right Fullback","Tottenham Hotspur","England",550,0,0,0,0,1,0,0.75,0.75
"Ryan Bertrand","ryan-bertrand","05.08.1989",179,85,"Left Fullback","Chelsea FC","England",550,0,0,3,0,3,0,0.5,0.75
"Sebastian Larsson","sebastian-larsson","06.06.1985",178,70,"Right Midfielder","Sunderland AFC","England",550,0,0,1,1,1,0,0,0
"Albelda","albelda","01.09.1977",181,77,"Defensive Midfielder","Valencia CF","Spain",553,0,1,0,1,1,0,0.25,0.25
"Ammar Jemal","ammar-jemal","20.04.1987",186,81,"Left Fullback","AC Ajaccio","France",553,0,0,0,0,1,0,0.5,0.75
"Carlos Kameni","carlos-kameni","18.02.1984",184,78,"Goalkeeper","Malaga CF","Spain",553,0,0,1,0,3,0,1,1
"Cesc Fabregas","cesc-fabregas","04.05.1987",179,75,"Center Midfielder","FC Barcelona","Spain",553,1,2,0,0,2,0,0.25,0.25
"Emre Belozoglu","emre-beloezoglu","07.09.1980",170,68,"Center Midfielder","Atletico Madrid","Spain",553,1,0,0,1,1,0,0.25,0.25
"Fernando Torres","fernando-torres","20.03.1984",183,70,"Center Forward","Chelsea FC","England",553,3,2,0,0,2,0,0,0.25
"Hajime Hosogai","hajime-hosogai","10.06.1986",177,69,"Defensive Midfielder","Bayer Leverkusen","Germany",553,0,1,0,0,1,0,0.25,0.25
"John Utaka","john-utaka","08.01.1982",179,82,"Right Winger","Montpellier HSC","France",553,0,0,1,0,1,0,0.75,0.75
"Marchena","marchena","31.07.1979",183,78,"Center Back","Deportivo La Coruna","Spain",553,0,1,0,1,1,0,0.25,0.5
"Omar Daf","omar-daf","12.02.1977",177,70,"Right Fullback","FC Sochaux","France",553,0,2,0,1,2,0,0.75,0.75
"Pape Diakhate","pape-diakhate","21.06.1984",181,75,"Center Back","Granada CF","Spain",553,0,1,0,0,1,0,1,1
"Raul Albiol","raul-albiol","04.09.1985",190,82,"Center Back","Real Madrid","Spain",553,0,1,0,0,1,0,0,0
"Reyes","reyes","01.09.1983",176,73,"Left Midfielder","Sevilla FC","Spain",553,0,1,0,1,1,0,0,0.25
"Santi Cazorla","santi-cazorla","13.12.1984",168,66,"Right Midfielder","Arsenal FC","England",553,0,1,0,0,1,0,0.25,0.25
"Stephane Mbia","stephane-mbia","20.05.1986",189,82,"Defensive Midfielder","Queens Park Rangers","England",553,0,0,1,0,2,0,1,0.75
"Xabi Alonso","xabi-alonso","25.11.1981",183,77,"Defensive Midfielder","Real Madrid","Spain",553,0,1,0,0,1,0,0.25,0.25
"Brett Holman","brett-holman","27.03.1984",176,75,"Attacking Midfielder","Aston Villa","England",555,4,3,1,0,4,0,0,0
"Constant Djakpa","constant-djakpa","17.10.1986",177,71,"Left Fullback","Eintracht Frankfurt","Germany",556,0,0,1,0,1,0,1,1
"Adrian Mutu","adrian-mutu","08.01.1979",180,74,"Left Winger","AC Ajaccio","France",560,0,0,1,1,1,0,0.25,0.25
"Alejandro Dominguez","alejandro-dominguez_2","10.06.1981",175,73,"Right Winger","Rayo Vallecano","Spain",560,0,0,0,0,1,0,0.25,0.25
"Amorebieta","amorebieta","29.03.1985",192,85,"Center Back","Athletic Bilbao","Spain",560,0,0,1,0,1,0,0,0
"Anatoliy Tymoshchuk","anatoliy-tymoshchuk","30.03.1979",181,75,"Defensive Midfielder","Bayern Munchen","Germany",560,1,0,0,0,1,0,0.25,0.25
"Artur Boruc","artur-boruc","20.02.1980",193,88,"Goalkeeper","Southampton FC","England",560,0,1,0,0,1,0,0,0.25
"Borja Oubina","borja-oubina","17.05.1982",180,75,"Defensive Midfielder","Celta Vigo","Spain",560,0,0,0,0,1,0,0.25,0.25
"Brad Guzan","brad-guzan","09.09.1984",193,95,"Goalkeeper","Aston Villa","England",560,0,1,0,1,1,0,0,0
"Camel Meriem","camel-meriem","18.10.1979",174,70,"Attacking Midfielder","OGC Nice","France",560,0,0,0,0,1,0,0.25,0.25
"Castillo","castillo_8","29.03.1986",182,71,"Left Fullback","Athletic Bilbao","Spain",560,0,0,1,0,1,0,0,0
"Christian Benteke","christian-benteke","03.12.1990",190,83,"Center Forward","Aston Villa","England",560,0,0,1,0,1,0,0.75,0.75
"Ciprian Marica","ciprian-marica","02.10.1985",185,80,"Right Winger","FC Schalke 04","Germany",560,0,2,1,0,3,0,0,0.25
"Cristian Molinaro","cristian-molinaro","30.07.1983",178,72,"Left Fullback","VfB Stuttgart","Germany",560,0,0,0,0,1,0,0.25,0.25
"Daniel Van Buyten","daniel-van-buyten","07.02.1978",197,95,"Center Back","Bayern Munchen","Germany",560,0,0,0,0,1,0,0.25,0.25
"Dariusz Dudka","dariusz-dudka","09.12.1983",183,80,"Defensive Midfielder","Levante UD","Spain",560,0,1,0,0,1,0,0.25,0.25
"Dimitar Berbatov","dimitar-berbatov","30.01.1981",188,79,"Center Forward","Fulham FC","England",560,0,0,1,0,1,0,0.25,0.25
"Gabriel Agbonlahor","gabriel-agbonlahor","13.10.1986",178,76,"Right Winger","Aston Villa","England",560,0,1,0,0,1,0,0.5,0.5
"Gareth Barry","gareth-barry","23.02.1981",184,78,"Center Midfielder","Manchester City","England",560,0,1,0,0,1,0,0,0.25
"Hilton","hilton","13.09.1977",182,73,"Center Back","Montpellier HSC","France",560,0,0,1,1,1,0,0.25,0.25
"Igor de Camargo","igor-de-camargo","12.05.1983",187,83,"Center Forward","Bor. Monchengladbach","Germany",560,0,0,1,0,1,0,0.5,0.5
"Iraola","iraola","22.06.1982",182,75,"Right Fullback","Athletic Bilbao","Spain",560,0,0,1,0,1,0,0,0.25
"Jaroslav Plasil","jaroslav-plasil","05.01.1982",183,72,"Right Midfielder","Girondins Bordeaux","France",560,0,0,0,0,1,0,0.25,0.25
"Johan Audel","johan-audel","12.12.1983",180,75,"Left Winger","VfB Stuttgart","Germany",560,1,1,0,0,2,0,0.75,0.75
"John Utaka","john-utaka","08.01.1982",179,82,"Right Winger","Montpellier HSC","France",560,1,1,0,0,1,0,0.75,0.75
"Llorente","llorente","26.02.1985",195,94,"Center Forward","Athletic Bilbao","Spain",560,0,0,1,0,1,0,0,0
"Luke Young","luke-young","19.07.1979",183,78,"Right Fullback","Queens Park Rangers","England",560,0,1,0,0,1,0,0.25,0.25
"Manuel Friedrich","manuel-friedrich","13.09.1979",189,87,"Center Back","Bayer Leverkusen","Germany",560,0,0,1,1,1,0,0,0
"Martin Stranzl","martin-stranzl","16.06.1980",190,83,"Center Back","Bor. Monchengladbach","Germany",560,0,0,1,0,2,0,0.25,0.25
"Matthieu Chalme","matthieu-chalme","07.10.1980",179,75,"Right Fullback","Girondins Bordeaux","France",560,0,1,0,0,2,0,0.25,0.25
"Nemanja Pejcinovic","nemanja-pejcinovic","04.11.1987",185,84,"Center Back","OGC Nice","France",560,0,0,1,0,1,0,0.25,0.25
"Nemanja Vidic","nemanja-vidic","21.10.1981",188,82,"Center Back","Manchester United","England",560,0,1,0,0,1,0,0,0
"Patrick Ebert","patrick-ebert","17.03.1987",172,68,"Left Midfielder","Real Valladolid","Spain",560,0,0,1,0,1,0,0,0
"Piotr Trochowski","piotr-trochowski","22.03.1984",168,73,"Attacking Midfielder","Sevilla FC","Spain",560,0,1,0,0,1,0,0.25,0.25
"Pirmin Schwegler","pirmin-schwegler","09.03.1987",178,68,"Defensive Midfielder","Eintracht Frankfurt","Germany",560,0,0,1,1,1,0,0,0
"Rafael van der Vaart","rafael-van-der-vaart","11.02.1983",176,74,"Attacking Midfielder","Hamburger SV","Germany",560,1,1,0,0,1,0,0,0.25
"Santi Cazorla","santi-cazorla","13.12.1984",168,66,"Right Midfielder","Arsenal FC","England",560,0,0,1,0,1,0,0.25,0.25
"Sergio Sanchez","sergio-sanchez_2","03.04.1986",185,76,"Right Fullback","Malaga CF","Spain",560,0,1,0,0,1,0,0.25,0.25
"Simon Jentzsch","simon-jentzsch","04.05.1976",196,96,"Goalkeeper","FC Augsburg","Germany",560,0,1,0,0,1,0,0.25,0.25
"Simon Rolfes","simon-rolfes","21.01.1982",191,83,"Defensive Midfielder","Bayer Leverkusen","Germany",560,0,0,1,0,1,0,0,0
"Stefan Kiessling","stefan-kiessling","25.01.1984",191,80,"Center Forward","Bayer Leverkusen","Germany",560,1,0,1,0,1,0,0,0
"Steven Sidwell","steven-sidwell","14.12.1982",178,70,"Center Midfielder","Fulham FC","England",560,0,1,0,1,1,0,0.25,0.25
"Szabolcs Huszti","szabolcs-huszti","18.04.1983",173,72,"Right Midfielder","Hannover 96","Germany",560,1,1,0,0,1,0,0,0
"Timmy Simons","timmy-simons","11.12.1976",186,79,"Defensive Midfielder","1. FC Nurnberg","Germany",560,1,1,0,0,2,0,0,0
"Toquero","toquero","09.08.1984",182,79,"Center Forward","Athletic Bilbao","Spain",560,0,0,1,0,1,0,0,0.25
"Tranquillo Barnetta","tranquillo-barnetta","22.05.1985",178,68,"Left Midfielder","FC Schalke 04","Germany",560,0,0,1,0,1,0,0,0.25
"Ciprian Marica","ciprian-marica","02.10.1985",185,80,"Right Winger","FC Schalke 04","Germany",561,0,1,0,1,1,0,0,0.25
"Emanuel Pogatetz","emanuel-pogatetz","16.01.1983",189,90,"Center Back","VfL Wolfsburg","Germany",561,0,0,1,0,1,0,0.25,0.25
"Abdou Traore","abdou-traore_2","17.01.1988",180,74,"Right Midfielder","Girondins Bordeaux","France",566,0,0,1,0,1,0,0.75,0.75
"Adil Rami","adil-rami","27.12.1985",190,88,"Center Back","Valencia CF","Spain",566,0,1,2,0,4,0,0,0.25
"Adrian Mutu","adrian-mutu","08.01.1979",180,74,"Left Winger","AC Ajaccio","France",566,2,1,1,0,2,0,0.25,0.25
"Adrien Rabiot","adrien-rabiot","03.04.1995",188,71,"Defensive Midfielder","Paris Saint-Germain","France",566,0,1,0,0,1,0,0,0
"Aduriz","aduriz","11.02.1981",182,78,"Center Forward","Athletic Bilbao","Spain",566,0,0,2,0,2,0,0.25,0.25
"Albelda","albelda","01.09.1977",181,77,"Defensive Midfielder","Valencia CF","Spain",566,0,2,2,2,4,0,0.25,0.25
"Alejandro Dominguez","alejandro-dominguez_2","10.06.1981",175,73,"Right Winger","Rayo Vallecano","Spain",566,0,0,1,1,2,0,0.25,0.25
"Almog Cohen","almog-cohen","01.09.1988",169,68,"Defensive Midfielder","1. FC Nurnberg","Germany",566,0,0,1,1,1,0,0.25,0.25
"Anatoliy Tymoshchuk","anatoliy-tymoshchuk","30.03.1979",181,75,"Defensive Midfielder","Bayern Munchen","Germany",566,0,2,0,0,3,0,0.25,0.25
"Andre Schurrle","andre-schuerrle","06.11.1990",184,74,"Left Winger","Bayer Leverkusen","Germany",566,1,1,1,1,2,0,0,0
"Andreas Ottl","andreas-ottl","01.03.1985",185,77,"Defensive Midfielder","FC Augsburg","Germany",566,0,1,0,0,1,0,0,0
"Aranzubia","aranzubia","18.09.1979",184,80,"Goalkeeper","Deportivo La Coruna","Spain",566,0,0,0,0,1,0,0,0
"Arnold Mvuemba","arnold-mvuemba","28.01.1985",172,67,"Defensive Midfielder","Olympique Lyon","France",566,0,0,0,0,1,0,0.75,0.75
"Arthur Boka","arthur-boka","02.04.1983",166,67,"Left Fullback","VfB Stuttgart","Germany",566,0,1,0,0,1,0,1,1
"Artur Boruc","artur-boruc","20.02.1980",193,88,"Goalkeeper","Southampton FC","England",566,0,16,4,0,24,0,0,0.25
"Asenjo","asenjo_2","28.06.1989",189,85,"Goalkeeper","Atletico Madrid","Spain",566,0,0,0,0,1,0,0,0.25
"Bacary Sagna","bacary-sagna","14.02.1983",176,72,"Right Fullback","Arsenal FC","England",566,0,0,1,0,2,0,1,1
"Barragan","barragan_3","12.06.1987",187,83,"Right Fullback","Valencia CF","Spain",566,0,1,0,0,1,0,0,0.25
"Benoit Pedretti","benoit-pedretti","12.11.1980",177,69,"Defensive Midfielder","Lille OSC","France",566,0,1,0,0,1,0,0.25,0.25
"Blaise Matuidi","blaise-matuidi","09.04.1987",175,70,"Defensive Midfielder","Paris Saint-Germain","France",566,0,4,0,2,4,0,0.75,0.75
"Borja Oubina","borja-oubina","17.05.1982",180,75,"Defensive Midfielder","Celta Vigo","Spain",566,0,0,0,0,1,0,0.25,0.25
"Brad Guzan","brad-guzan","09.09.1984",193,95,"Goalkeeper","Aston Villa","England",566,0,0,1,0,1,0,0,0
"Busquets","busquets_2","16.07.1988",189,73,"Defensive Midfielder","FC Barcelona","Spain",566,0,3,1,1,4,0,0.25,0.25
"Cedric Carrasso","cedric-carrasso","30.12.1981",192,87,"Goalkeeper","Girondins Bordeaux","France",566,0,1,0,0,1,0,0.25,0.25
"Cedric Kante","cedric-kante","06.07.1979",181,77,"Center Back","FC Sochaux","France",566,0,0,1,0,1,0,0.5,0.5
"Cesc Fabregas","cesc-fabregas","04.05.1987",179,75,"Center Midfielder","FC Barcelona","Spain",566,0,3,1,0,4,0,0.25,0.25
"Chris Baird","chris-baird","25.02.1982",186,77,"Defensive Midfielder","Fulham FC","England",566,0,0,1,0,1,0,0,0
"Christian Benteke","christian-benteke","03.12.1990",190,83,"Center Forward","Aston Villa","England",566,0,0,0,0,1,0,0.75,0.75
"Christian Fuchs","christian-fuchs","07.04.1986",186,84,"Left Fullback","FC Schalke 04","Germany",566,0,0,1,0,1,0,0,0
"Ciprian Marica","ciprian-marica","02.10.1985",185,80,"Right Winger","FC Schalke 04","Germany",566,1,0,3,1,3,0,0,0.25
"Clement Chantome","clement-chantome","11.09.1987",179,71,"Defensive Midfielder","Paris Saint-Germain","France",566,0,3,0,0,3,0,0.25,0.25
"Cristian Molinaro","cristian-molinaro","30.07.1983",178,72,"Left Fullback","VfB Stuttgart","Germany",566,0,1,0,1,1,0,0.25,0.25
"Damien Perquis","damien-perquis","10.04.1984",184,78,"Center Back","Real Betis","Spain",566,0,0,1,1,1,0,0,0
"Daniel Van Buyten","daniel-van-buyten","07.02.1978",197,95,"Center Back","Bayern Munchen","Germany",566,0,2,0,0,3,0,0.25,0.25
"Dariusz Dudka","dariusz-dudka","09.12.1983",183,80,"Defensive Midfielder","Levante UD","Spain",566,0,0,1,0,1,0,0.25,0.25
"David Bellion","david-bellion","27.11.1982",181,72,"Center Forward","Girondins Bordeaux","France",566,1,0,1,0,1,0,0.5,0.5
"David Sauget","david-sauget","23.11.1979",175,69,"Left Fullback","FC Sochaux","France",566,0,1,0,0,1,0,0,0
"Diego Colotto","diego-colotto","10.03.1981",184,83,"Center Back","Espanyol Barcelona","Spain",566,1,0,0,0,1,0,0.25,0.25
"Du-Ri Cha","du-ri-cha","25.07.1980",181,81,"Right Fullback","Fortuna Dusseldorf","Germany",566,0,2,1,0,4,0,0.5,0.25
"Duda","duda_2","27.06.1980",175,71,"Left Midfielder","Malaga CF","Spain",566,0,0,1,0,1,0,0.25,0.25
"Eden Hazard","eden-hazard","07.01.1991",170,69,"Right Winger","Chelsea FC","England",566,0,0,0,0,1,0,0.25,0.25
"Edin Dzeko","edin-dzeko","17.03.1986",193,84,"Center Forward","Manchester City","England",566,1,0,1,0,2,0,0.25,0.25
"Eliseu","eliseu","01.10.1983",177,74,"Left Midfielder","Malaga CF","Spain",566,1,0,1,0,1,0,0.75,0.75
"Emanuel Pogatetz","emanuel-pogatetz","16.01.1983",189,90,"Center Back","VfL Wolfsburg","Germany",566,0,1,0,1,1,0,0.25,0.25
"Emre Belozoglu","emre-beloezoglu","07.09.1980",170,68,"Center Midfielder","Atletico Madrid","Spain",566,0,0,0,0,1,0,0.25,0.25
"Erwin Hoffer","erwin-hoffer","14.04.1987",177,72,"Center Forward","Eintracht Frankfurt","Germany",566,2,1,0,0,1,0,0,0.25
"Federico Fazio","federico-fazio","17.03.1987",195,90,"Center Back","Sevilla FC","Spain",566,0,0,1,0,1,0,0.25,0.5
"Felipe Santana","felipe-santana","17.03.1986",194,80,"Center Back","Borussia Dortmund","Germany",566,1,1,0,0,1,0,0.75,0.75
"Fernando Gago","fernando-gago","10.04.1986",178,74,"Defensive Midfielder","Valencia CF","Spain",566,0,1,0,0,1,0,0.25,0.25
"Fernando Navarro","fernando-navarro","25.06.1982",176,69,"Left Fullback","Sevilla FC","Spain",566,0,0,1,0,1,0,0,0.25
"Fernando Torres","fernando-torres","20.03.1984",183,70,"Center Forward","Chelsea FC","England",566,0,1,0,0,1,0,0,0.25
"Franck Ribery","franck-ribery","07.04.1983",170,72,"Left Midfielder","Bayern Munchen","Germany",566,0,1,1,0,3,0,0.25,0.25
"Gael Danic","gael-danic","19.11.1981",176,65,"Left Midfielder","Valenciennes FC","France",566,0,0,0,0,1,0,0,0
"Gaetan Bong","gaetan-bong","25.04.1988",183,74,"Left Fullback","Valenciennes FC","France",566,0,0,1,0,1,0,0.75,0.75
"Gary Caldwell","gary-caldwell","12.04.1982",180,74,"Center Back","Wigan Athletic","England",566,1,12,6,5,23,0,0,0
"Geoffrey Kondogbia","geoffrey-kondogbia","15.02.1993",188,76,"Defensive Midfielder","Sevilla FC","Spain",566,0,0,0,0,1,0,0.75,1
"Georg Niedermeier","georg-niedermeier","26.02.1986",188,74,"Right Fullback","VfB Stuttgart","Germany",566,0,1,0,1,1,0,0,0
"George McCartney","george-mccartney","29.04.1981",180,74,"Left Fullback","West Ham United","England",566,0,0,1,0,1,0,0,0
"Giorgios Karagounis","giorgios-karagounis","06.03.1977",176,83,"Attacking Midfielder","Fulham FC","England",566,0,1,1,1,2,0,0,0
"Gotoku Sakai","gotoku-sakai","14.03.1991",176,74,"Right Fullback","VfB Stuttgart","Germany",566,0,1,0,0,1,0,0,0
"Henrique","henrique","02.05.1983",188,87,"Center Back","Girondins Bordeaux","France",566,0,0,1,0,1,0,0.75,0.75
"Hilton","hilton","13.09.1977",182,73,"Center Back","Montpellier HSC","France",566,1,1,0,0,1,0,0.25,0.25
"Holger Badstuber","holger-badstuber","13.03.1989",190,83,"Center Back","Bayern Munchen","Germany",566,0,2,0,1,2,0,0,0
"Igor de Camargo","igor-de-camargo","12.05.1983",187,83,"Center Forward","Bor. Monchengladbach","Germany",566,1,2,0,0,3,0,0.5,0.5
"Ivan Obradovic","ivan-obradovic","25.07.1988",181,74,"Left Fullback","Real Zaragoza","Spain",566,0,0,0,0,1,0,0,0.25
"Jaroslav Plasil","jaroslav-plasil","05.01.1982",183,72,"Right Midfielder","Girondins Bordeaux","France",566,0,1,0,1,1,0,0.25,0.25
"Javier Mascherano","javier-mascherano","08.06.1984",174,74,"Defensive Midfielder","FC Barcelona","Spain",566,0,2,1,0,3,0,0.25,0.25
"Jeremy Mathieu","jeremy-mathieu","29.10.1983",192,83,"Left Fullback","Valencia CF","Spain",566,0,0,2,0,2,0,0,0
"Jimmy Briand","jimmy-briand","02.08.1985",180,74,"Center Forward","Olympique Lyon","France",566,0,0,1,0,2,0,0.5,0.75
"John Ruddy","john-ruddy","24.10.1986",193,97,"Goalkeeper","Norwich City","England",566,0,2,2,0,4,0,0,0
"Jos Hooiveld","jos-hooiveld","22.04.1983",191,74,"Center Back","Southampton FC","England",566,0,0,1,1,1,0,0.25,0.25
"Julian Draxler","julian-draxler","20.09.1993",185,74,"Attacking Midfielder","FC Schalke 04","Germany",566,0,0,1,0,1,0,0,0
"Karim Bellarabi","karim-bellarabi","08.04.1990",183,76,"Right Winger","Bayer Leverkusen","Germany",566,0,0,1,0,1,0,0.5,0.5
"Kevin De Bruyne","kevin-de-bruyne","28.06.1991",181,76,"Attacking Midfielder","Werder Bremen","Germany",566,0,0,0,0,1,0,0,0
"Kyle Naughton","kyle-naughton","11.11.1988",180,73,"Right Fullback","Tottenham Hotspur","England",566,0,0,1,0,1,0,0.75,0.75
"Lewis Holtby","lewis-holtby","18.09.1990",176,72,"Attacking Midfielder","FC Schalke 04","Germany",566,0,0,1,0,1,0,0,0
"Loic Remy","loic-remy","02.01.1987",184,66,"Right Winger","Olympique Marseille","France",566,0,0,0,0,1,0,0.5,0.75
"Lukasz Piszczek","lukasz-piszczek","03.06.1985",184,78,"Right Fullback","Borussia Dortmund","Germany",566,0,1,1,0,2,0,0,0
"Luuk de Jong","luuk-de-jong","27.08.1990",188,86,"Center Forward","Bor. Monchengladbach","Germany",566,1,2,0,0,2,0,0,0
"Manuel Friedrich","manuel-friedrich","13.09.1979",189,87,"Center Back","Bayer Leverkusen","Germany",566,0,2,1,0,3,0,0,0
"Marchena","marchena","31.07.1979",183,78,"Center Back","Deportivo La Coruna","Spain",566,1,2,1,1,3,0,0.25,0.5
"Mario Suarez","mario-suarez","24.02.1987",188,80,"Defensive Midfielder","Atletico Madrid","Spain",566,0,1,0,0,1,0,0.25,0.5
"Marko Arnautovic","marko-arnautovic","19.04.1989",192,83,"Right Winger","Werder Bremen","Germany",566,0,1,0,0,1,0,0,0.25
"Marouane Fellaini","marouane-fellaini","22.11.1987",194,85,"Defensive Midfielder","Everton FC","England",566,0,1,0,1,3,0,0.25,0.25
"Martin Demichelis","martin-demichelis","20.12.1980",184,80,"Center Back","Malaga CF","Spain",566,0,1,1,1,2,0,0.25,0.25
"Martin Harnik","martin-harnik","10.06.1987",185,73,"Center Forward","VfB Stuttgart","Germany",566,1,1,0,0,1,0,0,0
"Martin Stranzl","martin-stranzl","16.06.1980",190,83,"Center Back","Bor. Monchengladbach","Germany",566,0,1,0,0,1,0,0.25,0.25
"Mats Hummels","mats-hummels","16.12.1988",192,90,"Center Back","Borussia Dortmund","Germany",566,0,1,0,0,1,0,0.25,0.25
"Matthieu Chalme","matthieu-chalme","07.10.1980",179,75,"Right Fullback","Girondins Bordeaux","France",566,0,0,1,1,1,0,0.25,0.25
"Maurice Edu","maurice-edu","18.04.1986",183,85,"Defensive Midfielder","Stoke City","England",566,0,9,0,1,10,0,0.75,1
"Mensur Mujdza","mensur-mujdza","28.03.1984",185,77,"Right Fullback","SC Freiburg","Germany",566,0,0,0,1,1,0,0.25,0.25
"Mickael Landreau","mickael-landreau","14.05.1979",184,80,"Goalkeeper","Lille OSC","France",566,0,2,0,0,2,0,0,0.25
"Mikel Arteta","mikel-arteta","26.03.1982",176,69,"Attacking Midfielder","Arsenal FC","England",566,0,1,0,0,1,0,0,0
"Nene","nene_2","19.07.1981",181,70,"Left Midfielder","Paris Saint-Germain","France",566,0,1,0,1,2,0,0.25,0.25
"Oscar Wendt","oscar-wendt","24.10.1985",181,82,"Left Fullback","Bor. Monchengladbach","Germany",566,0,0,1,0,1,0,0,0
"Palop","palop","22.10.1973",184,83,"Goalkeeper","Sevilla FC","Spain",566,0,0,1,0,1,0,0.5,0.25
"Pape Diakhate","pape-diakhate","21.06.1984",181,75,"Center Back","Granada CF","Spain",566,0,0,1,0,1,0,1,1
"Patrick Herrmann","patrick-herrmann_2","12.02.1991",179,69,"Left Midfielder","Bor. Monchengladbach","Germany",566,0,1,0,0,1,0,0,0.25
"Pepe Reina","pepe-reina","31.08.1982",188,92,"Goalkeeper","Liverpool FC","England",566,0,0,0,0,1,0,0.25,0.25
"Pepe","pepe_2","26.02.1983",188,81,"Center Back","Real Madrid","Spain",566,1,1,0,0,1,0,0.25,0.25
"Per Skjelbred","per-skjelbred","16.06.1987",175,74,"Attacking Midfielder","Hamburger SV","Germany",566,0,1,0,0,1,0,0,0
"Piotr Trochowski","piotr-trochowski","22.03.1984",168,73,"Attacking Midfielder","Sevilla FC","Spain",566,0,0,1,0,1,0,0.25,0.25
"Pique","pique","02.02.1987",192,85,"Center Back","FC Barcelona","Spain",566,1,2,1,1,3,0,0,0
"Pirmin Schwegler","pirmin-schwegler","09.03.1987",178,68,"Defensive Midfielder","Eintracht Frankfurt","Germany",566,0,0,1,1,1,0,0,0
"Radamel Falcao","radamel-falcao","10.02.1986",177,72,"Center Forward","Atletico Madrid","Spain",566,2,1,0,0,1,0,0.5,0.25
"Rafael van der Vaart","rafael-van-der-vaart","11.02.1983",176,74,"Attacking Midfielder","Hamburger SV","Germany",566,1,1,1,0,2,0,0,0.25
"Raul Albiol","raul-albiol","04.09.1985",190,82,"Center Back","Real Madrid","Spain",566,0,3,1,1,4,0,0,0
"Riki","riki","11.08.1980",187,84,"Center Forward","Deportivo La Coruna","Spain",566,0,0,0,0,1,0,0,0
"Roel Brouwers","roel-brouwers","28.11.1981",192,81,"Center Back","Bor. Monchengladbach","Germany",566,0,1,0,1,1,0,0,0
"Romaric","romaric","04.06.1983",187,88,"Defensive Midfielder","Real Zaragoza","Spain",566,0,0,1,0,1,0,0.75,0.75
"Romelu Lukaku","romelu-lukaku","13.05.1993",193,95,"Center Forward","West Bromwich Albion","England",566,1,0,1,1,2,0,0.75,0.75
"Salvatore Sirigu","salvatore-sirigu","12.01.1987",190,80,"Goalkeeper","Paris Saint-Germain","France",566,0,2,0,0,2,0,0.25,0.25
"Santi Cazorla","santi-cazorla","13.12.1984",168,66,"Right Midfielder","Arsenal FC","England",566,1,2,0,0,3,0,0.25,0.25
"Sebastian Boenisch","sebastian-boenisch","01.02.1987",191,85,"Left Fullback","Bayer Leverkusen","Germany",566,0,0,1,0,2,0,0,0
"Sejad Salihovic","sejad-salihovic","08.10.1984",180,81,"Center Midfielder","1899 Hoffenheim","Germany",566,0,0,1,0,1,0,0.25,0.25
"Sergio Escudero","sergio-escudero_3","02.09.1989",176,67,"Left Fullback","FC Schalke 04","Germany",566,0,0,1,1,1,0,0,0.25
"Sergio Sanchez","sergio-sanchez_2","03.04.1986",185,76,"Right Fullback","Malaga CF","Spain",566,0,0,2,0,2,0,0.25,0.25
"Simon Rolfes","simon-rolfes","21.01.1982",191,83,"Defensive Midfielder","Bayer Leverkusen","Germany",566,0,2,1,1,3,0,0,0
"Sokratis Papastathopoulos","sokratis-papastathopoulos","09.06.1988",185,82,"Center Back","Werder Bremen","Germany",566,0,0,0,0,1,0,0.25,0.25
"Sotirios Kyrgiakos","sotirios-kyrgiakos","23.07.1979",193,88,"Center Back","VfL Wolfsburg","Germany",566,0,1,0,1,4,0,0.25,0.25
"Steed Malbranque","steed-malbranque","06.01.1980",173,72,"Attacking Midfielder","Olympique Lyon","France",566,0,0,0,0,1,0,0.25,0.25
"Stefan Kiessling","stefan-kiessling","25.01.1984",191,80,"Center Forward","Bayer Leverkusen","Germany",566,0,2,1,1,3,0,0,0
"Stephane Mbia","stephane-mbia","20.05.1986",189,82,"Defensive Midfielder","Queens Park Rangers","England",566,1,1,0,1,1,0,1,0.75
"Steve Mandanda","steve-mandanda","28.03.1985",185,82,"Goalkeeper","Olympique Marseille","France",566,0,1,0,0,1,0,0.75,1
"Steven Naismith","steven-naismith","14.09.1986",175,72,"Center Forward","Everton FC","England",566,8,11,4,2,20,0,0,0
"Stilian Petrov","stilian-petrov","05.07.1979",180,77,"Center Midfielder","Aston Villa","England",566,1,4,0,1,5,0,0.25,0.25
"Sven Bender","sven-bender","27.04.1989",185,72,"Defensive Midfielder","Borussia Dortmund","Germany",566,0,1,0,1,1,0,0,0
"Teemu Pukki","teemu-pukki","29.03.1990",180,78,"Center Forward","FC Schalke 04","Germany",566,1,2,1,0,3,0,0,0
"Theodor Gebre Selassie","theodor-gebre-selassie","24.12.1986",181,71,"Right Fullback","Werder Bremen","Germany",566,0,1,0,0,1,0,0.5,0.75
"Thiago","thiago_17","11.04.1991",172,71,"Attacking Midfielder","FC Barcelona","Spain",566,0,1,0,1,1,0,0.5,0.5
